曲名,舞萌ID,舞萌类型,舞萌分类,舞萌谱面,舞萌BPM,舞萌版本,舞萌追加日期,舞萌是否锁定,舞萌别名,中二No.,中二分类,中二创作者,中二谱面,中二BPM,中二版本,中二别名
NightTheater,1247,DX,ゲーム＆バラエティ,DX 3 | DX 7+ | DX 11+ | DX 13+,151,FESTiVAL,2023-01-06,否,nighttheater|夜剧场|night theater|nt|夜剧院,987,VARIETY,わかどり,STD 3 | STD 6 | STD 11+ | STD 14+,151,CHUNITHM NEW,嘻嘻嘻|夜剧院|剧院
ばかみたい【Taxi Driver Edition】,1242,DX,ゲーム＆バラエティ,DX 2 | DX 6 | DX 12 | DX 13,74,FESTiVAL,2022-12-23,否,ばかみたい【taxi driver edition】|像笨蛋一样|八嘎米袋|别急20|打咩打捏|如龙的雨|笨蛋|八嘎|oceancat|羽染|玛恩纳|哭包羽染|像个傻瓜|🐶|如龙5|bakamitai|海猫络合物|海猫|damedane|🥃|铃木太一|哒咩哒咩,1390,VARIETY,桐生一馬(黒田崇矢),STD 1 | STD 5 | STD 8 | STD 13,74,SUN PLUS,
群青シグナル,1240,DX,maimai,DX 5 | DX 8 | DX 11+ | DX 13+,206,FESTiVAL,2022-12-16,否,群青シグナル|体育生2|群青|群青2|群青信号|群青讯号|体育生丢篮球,1616,ゲキマイ,テヅカ feat. 獅子神レオナ,STD 3 | STD 6 | STD 10 | STD 13+,206,LUMINOUS PLUS,
VIIIbit Explorer,1234,DX/STD,maimai,DX 6 | DX 8 | DX 13 | DX 14+ ; STD 6 | STD 8 | STD 12+ | STD 14,188,FESTiVAL,2021-07-21,否,viiibit explorer|标准浏览器|标准8bit|标准八比特|8bit|8比特|标巴比特|八位探索者|八比特|标8bit|5*8-30/2+3bit|8bit浏览器|八比特管理器|8比特浏览器|巴比特|八比特浏览器|海葵姐|浏览器|大手子|dx八比特|dx8bit,1319,ゲキマイ,Lime,STD 3 | STD 7+ | STD 12 | STD 14,188,SUN,8bit|八比特|浏览器
マーシャル・マキシマイザー,1227,DX,niconico＆ボーカロイド,DX 4 | DX 7 | DX 9+ | DX 13,190,FESTiVAL,2022-11-04,否,マーシャル・マキシマイザー|可不戴耳机|马修麦泽|最大化|mm|最大化者|马歇尔最大化器|马歇尔|marshall maximizer|可不听歌|maximizer|马歇尔最大化,1282,niconico,柊マグネタイト feat.可不,STD 3 | STD 7 | STD 9+ | STD 13+,190,SUN,
モンダイナイトリッパー！,1226,DX,POPS＆アニメ,DX 4 | DX 7 | DX 10+ | DX 13+,180,FESTiVAL,2022-11-04,否,モンダイナイトリッパー！|指南针|没问题tripper|モンダイナイトリッパー|萌呆奶|没问题|tripper|名取纱那|旅行者|没问题！Tripper！|兔兔|没问题旅行家,1595,POPS & ANIME,名取さな,STD 3 | STD 5 | STD 9+ | STD 13 | STD 14,180,LUMINOUS PLUS,
SUPER AMBULANCE,1223,DX,オンゲキ＆CHUNITHM,DX 6 | DX 8+ | DX 12 | DX 14,200,FESTiVAL,2022-10-21,否,super ambulance|120|千夏肚脐眼|千夏开大|俺不能死|救护车|超级救护车|🚑|超级小千夏|日向千夏,1317,ゲキマイ,AJURIKA,STD 3 | STD 8 | STD 13+ | STD 14+,200,SUN,超级救护车
Catch Me If You Can,1221,DX,オンゲキ＆CHUNITHM,DX 5 | DX 7 | DX 10+ | DX 13,130,FESTiVAL,2022-10-21,否,catch me if you can|你抓不住我|抓我|兔女郎|有种抓住我|早乙女彩华|兔女郎彩华|猫鼠游戏|露娜|樱岛麻衣|来抓我呀|抓我如果你可以|山里灵活的狗|如果你能抓到我|山吹沙绫,1497,ゲキマイ,曲：TAKU INOUE／歌：早乙女 彩華(CV：中島 唯),STD 2 | STD 5 | STD 10 | STD 13+,130,LUMINOUS,如果你能抓住我
セカイ,1219,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 10 | DX 12+,133,FESTiVAL,2022-10-07,否,セカイ|sekai|世界,879,niconico,DECO*27×堀江晶太(kemu),STD 2 | STD 5 | STD 9+ | STD 12+,133,CHUNITHM NEW,sekai
群青讃歌,1218,DX,niconico＆ボーカロイド,DX 1 | DX 6 | DX 9 | DX 12,168,FESTiVAL,2022-10-07,否,群青讃歌|群青赞歌,1280,niconico,Eve / 初音ミク、星乃一歌、花里みのり、小豆沢こはね、天馬司、宵崎奏「プロジェクトセカイ カラフルステージ！ feat. 初音ミク」,STD 2 | STD 6 | STD 9 | STD 12,168,SUN,pjsk|群青赞歌|赞歌
Random,1216,DX,ゲーム＆バラエティ,DX 3 | DX 7 | DX 11 | DX 13+,132,FESTiVAL,2022-09-22,否,random|阮冬木|随机|燃冬,1204,VARIETY,Sobrem × Silentroom,STD 3 | STD 6 | STD 10 | STD 14,132,SUN,随机|random
田中,1214,DX,ゲーム＆バラエティ,DX 5 | DX 8 | DX 12 | DX 14,186,FESTiVAL,2022-09-15,否,田中|tanaka,1236,VARIETY,立秋 feat.ちょこ,STD 4 | STD 7+ | STD 11 | STD 14+,186,SUN,屎|神曲神谱
スカーレット警察のゲットーパトロール24時,1213,DX,東方Project,DX 3 | DX 7 | DX 9 | DX 13,160,FESTiVAL,2022-09-15,否,スカーレット警察のゲットーパトロール24時|👮|东方警察24时|24时|蟑螂跳舞|东方警察|警察出警24小时|funky|警察24时|斯卡雷特警察|斯卡蕾特警察|24时警察|斯卡雷特|斯卡蕾特|蕾米出警|琪露诺跳舞|警察|蕾米琪露诺斗舞|尾杀大b圈,1202,東方Project,七条レタスグループ,STD 3 | STD 5 | STD 9 | STD 13+,160,SUN,
ヴィラン,1211,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 9 | DX 11+ | DX 13,102,FESTiVAL,2022-09-15,否,ヴィラン|碧浪|恶者|反派|villan|反派角色|villain|糜烂,874,niconico,てにをは,STD 3 | STD 5 | STD 9+ | STD 13,102,CHUNITHM NEW,villain
フォニイ,1210,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 9+ | DX 11 | DX 13,170,FESTiVAL,2022-09-15,否,フォニイ|phony|扶你|噗泥|奶龙跳舞|凤梨|7才二亻|佛尼|伪物|7才二人|狐狸面具,1142,niconico,ツミキ,STD 3 | STD 5 | STD 9+ | STD 12+,170,CHUNITHM NEW PLUS,phony|伪物
アニマル,1207,DX,niconico＆ボーカロイド,DX 3 | DX 7+ | DX 10+ | DX 13,188,FESTiVAL,2022-09-15,否,アニマル|animal|猫猫初音|猫抓板|deco喵喵叫|动物|猫葱,1267,niconico,DECO*27,STD 3 | STD 6 | STD 9+ | STD 13,188,SUN,animal
Don't Fight The Music,1206,DX,オンゲキ＆CHUNITHM,DX 5 | DX 9 | DX 12+ | DX 14,195,FESTiVAL,2022-09-15,否,don't fight the music|憋打歌|刹那立正|小气走|别打音乐|不要打歌|别打歌|刹那|宵崎奏|刹那赢冰箱|是我在制作这些视频|赢取冰箱|不好导弹来袭|不要战斗这音乐|不准打歌|不准揍乐,955,ゲキマイ,黒魔,STD 4 | STD 7 | STD 12 | STD 14+,200,CHUNITHM NEW,别打歌|老婆|刹那
蜘蛛の糸,1205,DX,オンゲキ＆CHUNITHM,DX 5 | DX 8+ | DX 12+ | DX 14,180,FESTiVAL,2022-09-15,否,蜘蛛の糸|四百块|蜘蛛系|蜘蛛的丝|滴嘟丝|蜘蛛丝|蜘蛛的糸|spider’s thread|🕸️|spider's thread|不来方永爱|蜘蛛之丝,916,ORIGINAL,きくお×cosMo＠暴走P feat.影縫英,STD 4 | STD 8+ | STD 13+ | STD 15,180,CHUNITHM NEW,蜘蛛丝|长城|不来方
Transcend Lights,1199,DX,オンゲキ＆CHUNITHM,DX 4 | DX 7 | DX 11 | DX 13,70,UNiVERSE PLUS,2022-09-02,否,transcend lights|超越光|九月的雨|超超光光|美瞳广告|小女孩们的茶话会|超越之光|bright主题曲|别急19|音击的武士|tl|萝莉的雨|音击妹妹|114514|音击的雨,1182,ゲキマイ,曲：小高光太郎／歌：オンゲキシューターズ,STD 1 | STD 6 | STD 9+ | STD 12,105,CHUNITHM NEW PLUS,114514|超越光|九月的雨
エータ・ベータ・イータ,1198,DX,オンゲキ＆CHUNITHM,DX 6 | DX 7+ | DX 12 | DX 14,186,UNiVERSE PLUS,2022-09-02,否,エータ・ベータ・イータ|hera2|eta beta ita|赫拉2|蓝原椿|赫拉二|工一夕八一夕人一夕|咱家那超级大串|工一夕|ἥβη,1272,ゲキマイ,ルゼ,STD 4 | STD 8+ | STD 12+ | STD 14+,186,SUN,蓝原椿|hera2|赫拉2|阿尔法|工一夕|蓝的椿
パズルリボン,1195,DX,オンゲキ＆CHUNITHM,DX 5 | DX 7+ | DX 11 | DX 13,215,UNiVERSE PLUS,2022-08-19,否,パズルリボン|蝴蝶结|拼图丝带|puzzle ribbon|红发男|游乐王子|未知无心|东云彰人,1035,ORIGINAL,すりぃ feat.りょーくん,STD 3 | STD 6 | STD 9+ | STD 12+,215,CHUNITHM NEW PLUS,
ジャンキーナイトタウンオーケストラ,1191,DX,niconico＆ボーカロイド,DX 3 | DX 6 | DX 10 | DX 12+,145,UNiVERSE PLUS,2022-08-19,否,ジャンキーナイトタウンオーケストラ|瘾者之夜|玛奇玛|🤫|瘾者之夜城镇乐队|junky night town orchestra|隐者之夜,1049,niconico,すりぃ,STD 2 | STD 5 | STD 9+ | STD 13,145,CHUNITHM NEW PLUS,瘾者之夜城镇乐队
folern,1186,DX,オンゲキ＆CHUNITHM,DX 5 | DX 8 | DX 12 | DX 13+,200,UNiVERSE PLUS,2022-07-22,否,folern|北冰洋|迪希雅|水陈|佛冷|给我玩中二节奏,487,ORIGINAL,ぬゆり,STD 4 | STD 8 | STD 13+ | STD 14+,200,AMAZON,佛冷
ツクヨミステップ,1185,DX,オンゲキ＆CHUNITHM,DX 4 | DX 7+ | DX 10+ | DX 13,172,UNiVERSE PLUS,2022-07-22,否,ツクヨミステップ|月读|水枪|斯普拉遁|月读舞步|女人拿水枪|戴帽女人滋水枪|水枪姐|嗒嗒啦嗒啦嗒嗒,590,ORIGINAL,ユリイ・カノン feat.nameless,STD 2 | STD 5 | STD 9+ | STD 13+,172,CRYSTAL,月读舞步
コスモポップファンクラブ,1184,DX,オンゲキ＆CHUNITHM,DX 3 | DX 6 | DX 10+ | DX 13,189,UNiVERSE PLUS,2022-07-22,否,コスモポップファンクラブ|芭芭拉拉粑粑|吧啦吧吧吧|cosmo pop funclub|宇宙流行乐俱乐部|小魔仙|cpfc|巴啦啦小魔仙|巴啦啦|巴拉巴巴巴,917,ORIGINAL,ナユタン星人,STD 2 | STD 5 | STD 9+ | STD 12,129,CHUNITHM NEW,cosmo pop fanclub|cpfc|巴拉巴巴拉
三妖精SAY YA!!!,1180,DX,東方Project,DX 3 | DX 6 | DX 10 | DX 13,150,UNiVERSE PLUS,2022-07-01,否,三妖精say ya!!!|三铸币开大|saya|say ya|三笨蛋|三小只|我们三|三月精|三妖精塞牙|tfgirls|萨莉亚|三妖精|三亚|月下三妖精,1276,東方Project,森羅万象,STD 3 | STD 6 | STD 9+ | STD 12,150,SUN,三妖精|sayya
Spring of Dreams,1177,DX,東方Project,DX 3 | DX 6 | DX 10 | DX 12+,153,UNiVERSE PLUS,2022-07-01,否,spring of dreams|春梦|春之港湾|娜兹玲|莉莉白|小老鼠,427,東方Project,3L (NJK Record),STD 3 | STD 5 | STD 8+ | STD 12,153,STAR PLUS,
Sage,1176,DX,maimai,DX 6 | DX 8 | DX 12+ | DX 14,145,UNiVERSE PLUS,2022-06-24,否,sage|世嘉|撒歌|贤者|sega|sabe|圣人|撒给|萨格|圣徒,1448,ゲキマイ,かめりあ,STD 3 | STD 7+ | STD 13 | STD 14+,145,LUMINOUS,撒哥
チューリングの跡,1175,DX,maimai,DX 4 | DX 8 | DX 13 | DX 14+,180,UNiVERSE PLUS,2022-06-24,否,チューリングの跡|屠龙之技|图灵|灭火器|螺号|jazz for your soul|图灵之跡|信用2|迹|白法院吹萨克斯|🎷|credits2|图灵之迹|🎷🥚|图灵轨迹|萨克斯|图灵之寄|dx信用,1566,ゲキマイ,Frums,STD 4 | STD 7 | STD 14 | STD 15,180,LUMINOUS PLUS,图灵
Swift Swing,1173,DX,maimai,DX 4 | DX 8 | DX 12 | DX 14,150,UNiVERSE PLUS,2022-06-24,否,swift swing|迪拉熊跳舞|他们是经理|滴蜡熊爱跳舞|海澜之家|迪拉熊热舞|滴蜡熊热舞|白铜寺拉小提琴|荡秋千|ss2|五熊扛鼎,1727,ゲキマイ,Laur,STD 3 | STD 6 | STD 11 | STD 14+,150,VERSE,
HECATONCHEIR,1166,DX,maimai,DX 5 | DX 8 | DX 12+ | DX 14,155,UNiVERSE PLUS,2022-05-27,否,hecatoncheir|百足巨人|MysteryPrism|百手巨人|摆臂巨人|百臂巨人|捅椅子|heca|他猫上椅子,1514,ゲキマイ,Yuta Imai,STD 3 | STD 7 | STD 11+ | STD 14,155,LUMINOUS PLUS,
BANG!,1161,DX,ゲーム＆バラエティ,DX 2 | DX 6 | DX 10+ | DX 13,128,UNiVERSE PLUS,2022-05-13,否,bang!|钢管|棒|邦|bang,1911,VARIETY,Shoichiro Hirata feat.Sana,STD 2 | STD 5 | STD 10 | STD 13,128,X-VERSE-X,
Love's Theme of BADASS ～バッド・アス 愛のテーマ～,1160,DX,ゲーム＆バラエティ,DX 6 | DX 8 | DX 13 | DX 14,202,UNiVERSE PLUS,2022-05-13,否,love's theme of badass ～バッド・アス 愛のテーマ～|猫抓板|拔大蒜|僵尸骑摩托|拔大葱|绿巨人骑摩托车|扒大蒜|哥布林骑摩托|badass|坏屁股|干打雷|恶尻|马达加斯加|爱的主题坏屁股|小绿人,1502,VARIETY,Hommarju,STD 3 | STD 7+ | STD 12+ | STD 14,202,LUMINOUS,拔大蒜|坏屁股|badass
BLUE ZONE,1156,DX,ゲーム＆バラエティ,DX 4 | DX 8 | DX 11 | DX 14,168,UNiVERSE PLUS,2022-04-28,否,blue zone|蓝粽|蓝得盆|蓝的盆|极品飞车|蓝界|蓝色高级车|蓝的区|蓝车|蓝的车|飞车|蓝区,903,VARIETY,Tatsh x NAOKI,STD 3 | STD 7 | STD 10+ | STD 14+,168,CHUNITHM NEW,蓝色区域|蓝的区|蓝区
otorii INNOVATED -[i]3-,1152,DX,オンゲキ＆CHUNITHM,DX 6 | DX 8+ | DX 13 | DX 14,210,UNiVERSE PLUS,2022-04-01,否,otorii innovated -[i]3-|电刑|熊二|雷电法王|雷熊|囚徒|紫色滴蜡熊|i3|闪电熊|⚡🐻|电熊|电所有人前列腺|大鸟居|电你前列腺|电击前列腺|耳机漏电|特大迪拉熊,392,ORIGINAL,NAOKI underground,STD 4 | STD 9+ | STD 13 | STD 15,210,STAR PLUS,大鸟居|鸟居|电所有人前列腺|电所有人|前列腺
8-EM,1149,DX,オンゲキ＆CHUNITHM,DX 5 | DX 8 | DX 12+ | DX 13+,168,UNiVERSE PLUS,2022-03-24,否,8-em|大大大|很酷，不说话|涩图|橘优羽|atm|syk|大柰子|小孩|喰喰|8em|国服没奈子,550,ORIGINAL,Sampling Masters AYA,STD 4 | STD 8 | STD 12 | STD 14+,168,AMAZON PLUS,大扔子|大头照|atm|8em
Dreadnought,1148,DX,ゲーム＆バラエティ,DX 5 | DX 8+ | DX 12+ | DX 13+,192,UNiVERSE PLUS,2022-03-24,否,dreadnought|无畏舰|死亡手电筒|手电筒|大喷菇|无畏号战舰|🔦|巧脆卷|望远镜|无畏号|无畏战舰,228,VARIETY,Mastermind(xi+nora2r),STD 4 | STD 7+ | STD 10+ | STD 14+ | STD 14+,192,AIR,手电筒|无畏舰|无畏契约|瓦|无畏
Armageddon,1147,DX,東方Project,DX 5 | DX 8 | DX 12+ | DX 13+,210,UNiVERSE PLUS,2022-03-24,否,armageddon|阿空|太阳信仰|arma|世界末日|东方树叶|⑥|阿玛革冬|阿妈咯噔|灵乌路空|灵知的太阳信仰|核弹,1235,東方Project,LeaF,STD 4 | STD 8+ | STD 13 | STD 15,210,SUN,切菜|世界末日|世界末白|阿玛戈登|世界mobi|核弹|arma|阿空|核爆
初音天地開闢神話,1146,DX,niconico＆ボーカロイド,DX 5 | DX 8 | DX 11 | DX 13+,240,UNiVERSE PLUS,2022-03-24,否,初音天地開闢神話|开天辟地|天地开辟|开辟神话|开辟|初音未来毁天灭地|初音未来日天日地|毁天灭地|盘古开天辟地|初音毁天灭地神话|初音未来开天辟地|开辟天地|盘古|消失2|神话|盘古未来|初音天地开辟神话|初音未来开辟神话|初音开天辟地,1029,niconico,cosMo＠暴走P,STD 5 | STD 7 | STD 13+ | STD 14+,240,CHUNITHM NEW PLUS,盘古|开辟天地|初音开天辟地|天地开辟|开天辟地
エンヴィーベイビー,1145,DX,niconico＆ボーカロイド,DX 3 | DX 7 | DX 9+ | DX 13,171,UNiVERSE PLUS,2022-03-24,否,エンヴィーベイビー|剔牙|envy baby|林尼|雀魂|拼多多|嫉妒宝贝|打牌|envybaby|envy,1027,niconico,Kanaria,STD 3 | STD 6 | STD 9 | STD 12,171,CHUNITHM NEW PLUS,envy baby
ヴァンパイア,1144,DX,niconico＆ボーカロイド,DX 3 | DX 6 | DX 10 | DX 11+ | DX 13,164,UNiVERSE PLUS,2022-03-24,否,ヴァンパイア|做核酸|玩牌儿|袁绍|玩牌呀|nichan|miku口罩|vampire|吸血鬼|口罩妹|棒棒鸭|核酸检测,1000,niconico,DECO*27,STD 3 | STD 6 | STD 9+ | STD 11+,164,CHUNITHM NEW,吸血鬼|vampire
"Good bye, Merry-Go-Round.",1143,DX,オンゲキ＆CHUNITHM,DX 5 | DX 7+ | DX 12 | DX 14,185,UNiVERSE PLUS,2022-03-24,否,"good bye, merry-go-round.|龙图|goodbye,mother-not-found|good bye, mothre-not-found|旋转mua|再见，旋转木马|白人掐腰|旋转木马|再见旋转木马|🐴|🐎|旋转古神|木马|江南style|🔁🌲🐴|阿尼娅|good bye, mother-not-found.|🎠|再见转圈圈|good bye, mother-not-found|杩|good bye merry go round|日向千夏|旋转木妈|千夏叉腰",814,ゲキマイ,Yooh,STD 4 | STD 7 | STD 12+ | STD 14+,185,PARADISE LOST,旋转木马|旋转木妈
sølips,1142,DX,maimai,DX 6 | DX 8 | DX 13+ | DX 14+,199,UNiVERSE PLUS,2022-03-24,否,sølips|100块|solips|100块钱|100元|一百块|索|嗦|🔒|solidworks|s∅lips|唯我论|so|索利普斯|s空集lips,1420,ゲキマイ,rintaro soma,STD 4 | STD 9+ | STD 13+ | STD 15,199,SUN PLUS,嗦|solips|蓝的盘|一百块
Halcyon,1137,DX/STD,ゲーム＆バラエティ,DX 3 | DX 8 | DX 11 | DX 13 ; STD 6 | STD 8+ | STD 12 | STD 14,191,UNiVERSE PLUS,2019-07-19,否,halcyon|翡翠鸡|sd🐔|翡翠鸟|标准翡翠鸡|标翡翠鸡|静谧之鸟|翡鸡杯|脆皮鸡|dx翡翠鸡|浅鸽处刑曲|🐔,112,VARIETY,xi,STD 3 | STD 7 | STD 10+ | STD 14+ | STD 15,191,CHUNITHM PLUS,翡翠鸡|小公交车
ハードコア・シンドローム,1136,DX,オンゲキ＆CHUNITHM,DX 5 | DX 8 | DX 12 | DX 13+,180,UNiVERSE,2022-03-11,否,ハードコア・シンドローム|hardcore syndrome|打胶|creeping|打交|打交第一名|硬核综合症|哈皮和tpz开音趴|hardcore|硬核|打架第二名|哈皮打交|哈德口|硬核综合征|罚站|友人对战|tanoc全明星|梅西哥拆机|哈德阔|梅西歌|老兵敬礼|我脸上有交互吗|怎么 我脸上是有交互吗|tpz立正|咋的我脸上是有交互吗,731,ORIGINAL,t+pazolite (HARDCORE TANO*C) feat.TANO*C ALL STARS,STD 4 | STD 7+ | STD 12 | STD 14+,190,CRYSTAL PLUS,hardcore syndrome|打架第二名|hardcore|硬核|梅西哥拆机
スピカの天秤,1135,DX,オンゲキ＆CHUNITHM,DX 5 | DX 8+ | DX 13 | DX 14,252,UNiVERSE,2022-03-11,否,スピカの天秤|黑化希望泪|希望泪2|交流电电棍|绝望泪|心灵终结|天秤|这个需要你自己衡量|天平,492,ORIGINAL,Acotto,STD 4 | STD 8 | STD 12 | STD 14+,252,AMAZON,天平|天秤
Limits,1134,DX,オンゲキ＆CHUNITHM,DX 3 | DX 6 | DX 10 | DX 13,140,UNiVERSE,2022-03-11,否,limits|限制|极限,950,イロドリミドリ,舞ヶ原シンセ研究会,STD 3 | STD 5 | STD 9 | STD 13,140,CHUNITHM NEW,极限
We Are Us,1133,DX,オンゲキ＆CHUNITHM,DX 3 | DX 6 | DX 10 | DX 13,145,UNiVERSE,2022-03-11,否,we are us|我们是美国|wau|我们是我们,729,イロドリミドリ,舞ヶ原シンセ研究会,STD 2 | STD 7 | STD 10 | STD 13,145,PARADISE,
リモコン,1130,DX,niconico＆ボーカロイド,DX 3 | DX 6 | DX 9 | DX 13,165,UNiVERSE,2022-02-25,否,リモコン|双子转转转|switch|遥控器|思维驰学习机,194,niconico,じーざすP（ワンダフル☆オポチュニティ！）,STD 3 | STD 5 | STD 8 | STD 11+,165,AIR,遥控器
アカツキアライヴァル,1129,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 10 | DX 13,125,UNiVERSE,2022-02-25,否,アカツキアライヴァル|拂晓|初音未来和波奇|鱼葱|女同8|拂晓已至|拂晓抵达|akatsuki arrival,196,niconico,Last Note.,STD 2 | STD 5 | STD 9+ | STD 11+,125,AIR,拂晓抵达
ラグトレイン,1128,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 9+ | DX 13,147,UNiVERSE,2022-02-25,否,ラグトレイン|延误列车|打地鼠|延迟列车|烟雾列车|少女终末旅行|列车|15列车|lag train|电车迟到|lagtrain,957,niconico,稲葉曇,STD 2 | STD 5 | STD 8+ | STD 11+,147,PARADISE LOST,延误列车
躯樹の墓守,1126,DX,maimai,DX 6 | DX 9+ | DX 13 | DX 14+,211,UNiVERSE,2022-02-10,否,躯樹の墓守|躯树の墓守|墓守|噔噔|🌳|树|守墓人|小红帽|躯树的墓守|红色羽毛球|洛茜|躯树|躯树墓守|蕾米坠机,1700,ゲキマイ,隣の庭は青い(庭師+Aoi),STD 5 | STD 8 | STD 13+ | STD 15,211,VERSE,墓守|躯世的墓琴|躯树|去世的木琴
インドア系ならトラックメイカー,1121,DX,POPS＆アニメ,DX 2 | DX 7+ | DX 10 | DX 13,128,UNiVERSE,2022-01-28,否,インドア系ならトラックメイカー|室内系|nichan|小姐姐|一笔画|室内轨道制造商|indoor系|室内系的track maker|内向都是作曲家|室内系的trackmaker|track maker|法修散打,719,VARIETY,Yunomi & nicamoq,STD 3 | STD 5 | STD 10 | STD 12+,128,CRYSTAL PLUS,室内系
なだめスかし Negotiation（TVsize）,1120,DX,POPS＆アニメ,DX 3 | DX 6 | DX 8 | DX 12,150,UNiVERSE,2022-01-28,否,,978,POPS & ANIME,鹿乃と宇崎ちゃん「宇崎ちゃんは遊びたい！」,STD 3 | STD 5 | STD 9+ | STD 12+,150,,
Falsum Atlantis.,1119,DX,オンゲキ＆CHUNITHM,DX 4 | DX 8 | DX 12+ | DX 14,160,UNiVERSE,2022-01-14,否,falsum atlantis.|艾伦走路人|亚特兰提斯|在海下面在海下面|虚伪的亚特兰蒂斯|亚特兰蒂斯|皇城刹那|刹那下海|水神8|fa|刹那,1208,ゲキマイ,kanone,STD 4 | STD 7+ | STD 13 | STD 15,160,SUN,亚特兰蒂斯|娜英|香草|faded|胃癌又闹|刹那|老婆
LiftOff,1118,DX,オンゲキ＆CHUNITHM,DX 4 | DX 8 | DX 11+ | DX 13+,137,UNiVERSE,2022-01-14,否,liftoff|关电梯|起飞|dx四月雨|火箭|电梯下降|刑具|抬棺|发射|长角女孩|妙脆角|东云纺|赫拉0.5,1356,ゲキマイ,MAYA AKAI,STD 2 | STD 7+ | STD 12 | STD 14+,137,SUN PLUS,妈呀阿卡伊
No Limit RED Force,1117,DX,オンゲキ＆CHUNITHM,DX 2 | DX 7 | DX 9+ | DX 12+,146,UNiVERSE,2022-01-14,否,no limit red force|无限红|无限红力|无尽的赤红之力|红色电音极地大冲击,1292,ゲキマイ,曲：本多友紀（Arte Refact）／歌：オンゲキシューターズ,STD 2 | STD 6 | STD 8+ | STD 13,146,SUN,
ぱくぱく☆がーる,1116,DX,オンゲキ＆CHUNITHM,DX 4 | DX 7 | DX 10 | DX 13,121,UNiVERSE,2022-01-14,否,ぱくぱく☆がーる|江江炫饭|报菜名|江江|江江下锅|江江报菜名|江江今天吃什么|pac pac girl|大胃袋江子,1321,ゲキマイ,曲：齋藤大／歌：珠洲島 有栖(CV：長縄 まりあ),STD 2 | STD 5 | STD 9+ | STD 12,121,SUN,江江报菜名
Destr0yer,1115,DX/STD,ゲーム＆バラエティ,DX 2 | DX 7+ | DX 11 | DX 12+ ; STD 4 | STD 8 | STD 12 | STD 14,90,UNiVERSE,2019-07-11,否,destr0yer|——口|destr🦌yer|标准d0|别急10|消除男|----------☀️◻|标d0|驱逐舰|神父|毁灭者|d0|终极闪光|方块头|destroyer|削除射线|削除光线|削除|界限突破|毁灭方块人|null|dx削除射线|一一一一一口|破坏者,596,VARIETY,削除 feat. Nikki Simmons,STD 4 | STD 7 | STD 11 | STD 14+,90,CRYSTAL,destroyer|d0
神々が恋した幻想郷,1114,DX,東方Project,DX 2 | DX 7 | DX 10+ | DX 13,155,UNiVERSE,2022-01-06,否,神々が恋した幻想郷|东方南十字|众神眷恋的十字星|幻想乡|神恋|东十字|众神眷恋的幻想乡|testify|神都得意俺们屯|东十字星|青春版白南十字星|神仙稀罕俺们屯|终神眷恋的南十字|神眷|小南十字,943,東方Project,Unlucky Morpheus,STD 3 | STD 5 | STD 10 | STD 14,155,PARADISE LOST,幻想乡
悪魔の踊り方,1111,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 9+ | DX 13,106,UNiVERSE,2021-12-24,否,悪魔の踊り方|恶魔|恶魔的舞蹈方式|恶魔踊|恶魔跳舞|👿👯|👁|👁️|恶魔跳舞的方式|踊方,1374,niconico,キタニタツヤ,STD 2 | STD 5 | STD 8 | STD 12+,106,SUN PLUS,
失敗作少女,1110,DX,niconico＆ボーカロイド,DX 3 | DX 7 | DX 10 | DX 13,235,UNiVERSE,2021-12-24,否,失敗作少女|失败作少女|我肯定|失败作|成功当男娘,882,niconico,かいりきベア・MARETU feat.初音ミク,STD 3 | STD 5 | STD 9 | STD 12+,235,CHUNITHM NEW,失败作少女
U&iVERSE -銀河鸞翔-,1109,DX,maimai,DX 5 | DX 9 | DX 12 | DX 14,140,UNiVERSE,2021-12-16,否,u&iverse -銀河鸞翔-|银河鸾翔|银河鸞翔|鸾翔|金典有机奶|u&amp;iverse -銀河鸞翔-|3d白猫|银河拉翔|银河翱翔|universe|银河乱翔|银河飞翔|金牛奶|银河|银河卵翔|kop3rd预选曲|银河护卫队|😫|milk走路人,1293,ゲキマイ,Kai VS 大国奏音 VS 水野健治,STD 4 | STD 7 | STD 10+ | STD 14,140,SUN,银河翱翔|银河鸾翔|银河鸟翔
Yorugao,1108,DX,maimai,DX 5 | DX 8 | DX 12 | DX 14+,182,UNiVERSE,2021-12-10,否,yorugao|犹如高|油乳膏|月光花|牙膏|夜颜|紫黑|有乳膏|牛肉干|有如皋|优乳膏,1431,ゲキマイ,An & Ryunosuke Kudo,STD 3 | STD 7+ | STD 12 | STD 14+,182,SUN PLUS,犹乳膏|屎|大便|犹如高|有乳膏|夜颜|紫黑
Alcyone,1106,DX,maimai,DX 4 | DX 7+ | DX 12 | DX 14,176,UNiVERSE,2021-12-10,否,alcyone|昴宿六|古希腊掌管反手交互的神|alc|凯尔希|高丽,1532,ゲキマイ,PRASTIK DANCEFLOOR,STD 3 | STD 7+ | STD 12 | STD 14+,176,LUMINOUS,
