No.,乐曲类型,曲名,类型,难易度,等级,谱面定数,BPM,版本,追加日期,是否锁定,别名
1759,DX,ICEBURN,DX,MASTER,13+,13.8,190,CiRCLE (丸),2026-03-05,否,
1755,DX,むしみこうにゃーのハッピッピー,DX,MASTER,13+,13.6,225,CiRCLE (丸),2026-02-20,否,
1750,DX,Phase: Theatre,DX,MASTER,13+,13.8,195,CiRCLE (丸),2026-02-06,是,
1749,DX,"ECHO,",DX,MASTER,13+,13.7,193,CiRCLE (丸),2026-02-06,是,
1746,DX,胡蝶乃舞,DX,MASTER,13+,13.9,180,CiRCLE (丸),2026-01-23,否,胡蝶乃舞|蝴蝶乃舞|蝴蝶
1745,DX,Restricted Access,DX,MASTER,13+,13.8,185,CiRCLE (丸),2026-01-23,否,restricted access|ra|限制访问
1744,DX/STD,Paranoia,STD,MASTER,13+,13.6,150,CiRCLE (丸),2020-09-17,否,paranoia|镶金灵梦|妄想症|金色灵梦
1736,DX,み　む　かｩ　わ　ナ　イ　ス　ト　ラ　イ,DX,MASTER,13+,13.7,126,CiRCLE (丸),2026-01-09,否,
1728,DX,雲外蒼電 -Dreaming Voltage-,DX,MASTER,13+,13.9,160,CiRCLE (丸),2025-12-12,是,
1726,DX,Let's ミクササイズ！！,DX,MASTER,13+,13.8,239,CiRCLE (丸),2025-12-05,否,
1725,DX,初音ミクの暴走,DX,MASTER,13+,13.9,310,CiRCLE (丸),2025-12-05,否,
1722,DX,最愛人生ランナー,DX,MASTER,13+,13.8,180,CiRCLE (丸),2025-11-20,否,
1721,DX,トレジャーガーデン,DX,MASTER,13+,13.8,268,CiRCLE (丸),2025-11-20,否,
1719,DX,ウィーアーピコピコハンマーズ!!!!,DX,MASTER,13+,13.9,202,CiRCLE (丸),2025-11-20,否,
1718,DX,電光刹歌,DX,MASTER,13+,13.8,207,CiRCLE (丸),2025-11-20,否,
1716,DX,ぱぱぱらビーチ,DX,MASTER,13+,13.6,160,CiRCLE (丸),2025-11-07,是,
1715,DX,Eternal Return,DX,MASTER,13+,13.8,180,CiRCLE (丸),2025-11-07,是,
1713,DX,ヒアソビ,DX,MASTER,13+,13.7,134,CiRCLE (丸),2025-10-30,否,
1706,DX,廃墟にいますキャンペーン,DX,MASTER,13+,13.9,215,CiRCLE (丸),2025-10-16,否,
1702,DX,命テステス,DX,MASTER,13+,13.6,240,CiRCLE (丸),2025-10-03,否,
1701,DX,しゅ～しん？変身☆ハカイシンzzZ,DX,MASTER,13+,13.8,180,CiRCLE (丸),2025-10-03,否,
1699,DX,エンジェル ドリーム,DX,MASTER,13+,13.6,180,CiRCLE (丸),2025-09-26,否,エンジェル ドリーム|天使之梦|angel dream
1684,DX,どんぐりGAME,DX,MASTER,13+,13.6,130,CiRCLE (丸),2025-09-18,否,
1679,DX,イーヴィルガール,DX,MASTER,13+,13.8,180,CiRCLE (丸),2025-09-18,否,
1677,DX,Magical Paradox,DX,MASTER,13+,13.8,192,CiRCLE (丸),2025-09-18,是,
1676,DX,CiRCLE CAMPAiGN,DX,MASTER,13+,13.7,182,CiRCLE (丸),2025-09-18,否,
1675,DX,Luminescence,DX,MASTER,13+,13.8,184,PRiSM+ (彩),2025-09-05,否,
1673,DX,Leave All Behind,DX,MASTER,13+,13.8,150,PRiSM+ (彩),2025-09-05,否,
1672,DX,NO ONE YES MAN,DX,MASTER,13+,13.9,170,PRiSM+ (彩),2025-09-05,否,
1665,DX,ありきたりな恋の歌,DX,MASTER,13+,13.7,180,PRiSM+ (彩),2025-08-08,否,
1659,DX,Tidal Wave,DX,MASTER,13+,13.8,175,PRiSM+ (彩),2025-07-16,否,
1658,DX,Drivessover,DX,MASTER,13+,13.6,182,PRiSM+ (彩),2025-07-16,否,
1657,DX,crazy (about you),DX,MASTER,13+,13.7,145,PRiSM+ (彩),2025-07-16,否,
1651,DX,サウンドプレイヤー,DX,MASTER,13+,13.7,143,PRiSM+ (彩),2025-07-11,否,
1650,DX,Amereistr,DX,MASTER,13+,13.9,147,PRiSM+ (彩),2025-07-11,否,
1647,DX,Lover's Trick,DX,MASTER,13+,13.7,130,PRiSM+ (彩),2025-07-04,否,
1643,DX,BlackFlagBreaker!!,DX,MASTER,13+,13.9,163,PRiSM+ (彩),2025-06-20,否,
1642,DX,ホラフキパペット,DX,MASTER,13+,13.6,205,PRiSM+ (彩),2025-06-20,否,
1639,DX,なんかノイズにきこえる,DX,MASTER,13+,13.7,158,PRiSM+ (彩),2025-06-20,否,
1630,DX,超最終鬼畜妹フランドール・S,DX,MASTER,13+,13.9,210,PRiSM+ (彩),2025-05-21,否,
1619,DX,Unfinished Epic,DX,MASTER,13+,13.8,185,PRiSM+ (彩),2025-05-09,否,
1618,DX,概して過誤,DX,MASTER,13+,13.7,170,PRiSM+ (彩),2025-05-09,否,
1613,DX,M@GICAL☆CURE! LOVE ♥ SHOT!,DX,MASTER,13+,13.6,192,PRiSM+ (彩),2025-04-11,否,
1610,DX,スナネコのうた,DX,MASTER,13+,13.7,92,PRiSM+ (彩),2025-04-01,否,
1608,DX,モエチャッカファイア,DX,MASTER,13+,13.9,163,PRiSM+ (彩),2025-03-28,否,モエチャッカファイア|绝区零|萌萌点火|鲨鱼娘
1592,DX,月光,DX,MASTER,13+,13.7,195,PRiSM+ (彩),2025-03-13,否,月光
1590,DX,きゅびびびびずむ,DX,MASTER,13+,13.8,185,PRiSM+ (彩),2025-03-13,否,きゅびびびびずむ|cubibibibism|立体体体体主义
1587,DX,Supersonic Generation,DX,MASTER,13+,13.9,155,PRiSM+ (彩),2025-03-13,否,supersonic generation
1586,DX,Feel The Luv,DX,MASTER,13+,13.8,155,PRiSM+ (彩),2025-03-13,否,feel the luv
1585,DX,ウタヒメナイトストーム,DX,MASTER,13+,13.8,164,PRiSM+ (彩),2025-03-13,否,ウタヒメナイトストーム
1584,DX,Fraq,DX,MASTER,13+,13.7,221,PRiSM+ (彩),2025-03-13,否,fraq
1581,DX,Colorfull:Encounter,DX,MASTER,13+,13.9,185,PRiSM (鏡),2025-02-27,否,colorfull:encounter|绿黑姬
1580,DX,Flashback,DX,MASTER,13+,13.8,160,PRiSM (鏡),2025-02-27,否,flashback|闪回
1579,DX,ピポピポ -People People- feat. ななひら,DX,MASTER,13+,13.8,230,PRiSM (鏡),2025-02-14,否,ピポピポ -people people- feat. ななひら|人人|pipopipo|人人网
1573,DX,Radiance,DX,MASTER,13+,13.7,155,PRiSM (鏡),2025-02-07,否,radiance|江江比耶2|江江比耶
1571,DX,Resolution,DX,MASTER,13+,13.7,190,PRiSM (鏡),2025-02-07,否,resolution
1570,DX,How To Make 音ゲ～曲！,DX,MASTER,13+,13.7,185,PRiSM (鏡),2025-01-24,否,how to make 音ゲ～曲！|预制菜|怎么做音游曲|音游曲|如何制作音游曲|教作曲
1569,DX,MORNINGLOOM,DX,MASTER,13+,13.7,102,PRiSM (鏡),2025-01-24,否,morningloom|早八
1565,DX,Löschen,DX,MASTER,13+,13.9,181,PRiSM (鏡),2025-01-10,否,löschen|loschen|删除|螺丝陈
1564,DX,迷える音色は恋の唄,DX,MASTER,13+,13.7,165,PRiSM (鏡),2025-01-10,否,迷える音色は恋の唄|恋歌|音色迷人的恋歌
1563,DX,Empire of Winter,DX,MASTER,13+,13.7,175,PRiSM (鏡),2025-01-10,否,empire of winter|冬日帝国|露娜爱托贴贴
1562,DX,はげしこの夜 -Psylent Crazy Night-,DX,MASTER,13+,13.8,135,PRiSM (鏡),2024-12-24,否,はげしこの夜 -psylent crazy night-|电棍|电棍过圣诞
1558,DX,地獄,DX,MASTER,13+,13.6,190,PRiSM (鏡),2024-12-20,否,地獄|地狱
1554,DX,バベル,DX,MASTER,13+,13.7,225,PRiSM (鏡),2024-12-06,否,バベル|巴别塔|babel|放学接孩子|接孩子
1553,DX,ウルトラトレーラー,DX,MASTER,13+,13.8,155,PRiSM (鏡),2024-12-06,否,ウルトラトレーラー|ultra trailer|超预告篇|超预告片|超予告编|炒鱼糕片
1545,DX,snooze,DX,MASTER,13+,13.7,150,PRiSM (鏡),2024-11-22,否,snooze
1535,DX,天蓋,DX,MASTER,13+,13.9,178,PRiSM (鏡),2024-10-25,否,天蓋|天盖
1532,DX,ゆけむり魂温泉 II,DX,MASTER,13+,13.6,140,PRiSM (鏡),2024-10-11,否,ゆけむり魂温泉 ii|魂温泉
1529,DX,イガク,DX,MASTER,13+,13.8,170,PRiSM (鏡),2024-09-27,否,イガク|医学|我有ユユ症|ユ
1528,DX,人マニア,DX,MASTER,13+,13.7,150,PRiSM (鏡),2024-09-27,否,人マニア|人狂|人狂热症|人狂热者
1527,DX,果ての空、僕らが見た光。,DX,MASTER,13+,13.6,178,PRiSM (鏡),2024-09-12,否,果ての空、僕らが見た光。|果空|青门|果空僕见光
1519,DX,Ultimate taste,DX,MASTER,13+,13.7,200,PRiSM (鏡),2024-09-12,否,ultimate taste|芙兰教你认曲风
1518,DX,ずんだパーリナイ,DX,MASTER,13+,13.7,150,PRiSM (鏡),2024-09-12,否,ずんだパーリナイ|俊达派对之夜|俊达萌派对|俊达萌派对之夜
1512,DX,病み垢ステロイド,DX,MASTER,13+,13.8,203,PRiSM (鏡),2024-09-12,否,病み垢ステロイド|病垢|病郁账号类固醇|嗑药|玩偶熊女孩
1507,DX,YKWTD,DX,MASTER,13+,13.8,174,PRiSM (鏡),2024-09-12,否,ykwtd|游客玩特大|一块玩土豆|你知道做什么|盈亏问题点
1504,DX,Baqeela,DX,MASTER,13+,13.8,130,BUDDiES+ (宴),2024-08-30,否,baqeela|巴奎拉
1503,DX,最っ高のエンタメだ!!,DX,MASTER,13+,13.7,276,BUDDiES+ (宴),2024-08-30,否,最っ高のエンタメだ!!|最高|最棒的娱乐
1500,DX,偉大なる悪魔は実は大天使パトラちゃん様なのだ！,DX,MASTER,13+,13.8,195,BUDDiES+ (宴),2024-08-16,否,偉大なる悪魔は実は大天使パトラちゃん様なのだ！|呜喵呜喵|一半恶魔一半天使|母牛母牛|伟大恶魔天使|伟大恶魔|伟大恶魔大天使|恶魔天使|恶魔大天使|大天使|周防パトラ|迷你世界|母牛|周防|三只母牛|大恶魔大天使|伟大恶魔实则天使
1494,DX,Geranium,DX,MASTER,13+,13.7,150,BUDDiES+ (宴),2024-08-02,否,geranium|天竺葵|贪玩蓝月2
1490,DX/STD,華の集落、秋のお届け,DX,MASTER,13+,13.9,165,UNiVERSE (宙),2021-10-29,否,華の集落、秋のお届け|标华集落|标华集|华之集落|华的集落|华集落|滑稽|华之集落，致以秋意|秋届|华秋|花村|集落|华集|华落|菲谢尔|皇女|蛋糕店里卖蛋糕
1490,DX/STD,華の集落、秋のお届け,STD,MASTER,13+,13.9,165,BUDDiES+ (宴),2021-10-29,否,華の集落、秋のお届け|标华集落|标华集|华之集落|华的集落|华集落|滑稽|华之集落，致以秋意|秋届|华秋|花村|集落|华集|华落|菲谢尔|皇女|蛋糕店里卖蛋糕
1488,DX,Trust,DX,MASTER,13+,13.6,155,BUDDiES+ (宴),2024-07-05,否,trust|足控|大脚丫子|脚歌|玉足|玉足冰棍|老冰棍|小仏凪吃雪糕|🦶|信任|狱卒|湿身少女翘脚吃冰糕|糯香柠檬茶|yokidou|合乎粥礼|光吉猛修唱歌
1486,DX,Everybody Say HARDCORE TANO*C,DX,MASTER,13+,13.6,170,BUDDiES+ (宴),2024-07-05,否,everybody say hardcore tano*c
1485,DX,BOOM! BOOM!! BOOM!!!,DX,MASTER,13+,13.6,170,BUDDiES+ (宴),2024-07-05,否,boom! boom!! boom!!!|嘭嘭嘭|小爆爆爆|小bbb
1481,DX,Beginning together!,DX,MASTER,13+,13.7,142,BUDDiES+ (宴),2024-06-21,否,beginning together!|开始一起
1480,DX,RE:INCARNATED DRAGNER,DX,MASTER,13+,13.9,188,BUDDiES+ (宴),2024-06-21,否,re:incarnated dragner|化身龙骑|龙骑士|龙骑|小火龙|rid
1470,DX,バカ通信,DX,MASTER,13+,13.6,240,BUDDiES+ (宴),2024-05-24,否,バカ通信|笨蛋通信|琪露诺通信|八力通信|笨蛋通讯|八力通讯|通信|baka通信|八嘎通信|泡通信|9通信|⑨通信
1467,DX,新人類,DX,MASTER,13+,13.6,144,BUDDiES+ (宴),2024-05-24,否,新人類|镜音铃|新人类
1465,DX,Lunatic Vibes,DX,MASTER,13+,13.8,185,BUDDiES+ (宴),2024-05-10,否,lunatic vibes|月狂氛围|lv|breakover2|黑楼哉辉|疯狂震动|bo2|疯狂共鸣
1461,DX,サイバーサンダーサイダー,DX,MASTER,13+,13.7,145,BUDDiES+ (宴),2024-04-26,否,サイバーサンダーサイダー|火柴人|ctc|小人打拳|cyber thunder cider|粉笔人
1457,DX,tiny tales continue,DX,MASTER,13+,13.9,188,BUDDiES+ (宴),2024-04-12,否,tiny tales continue|ttc|小传说继续|小故事
1454,DX,MUSIC PЯAYER,DX,MASTER,13+,13.7,168,BUDDiES+ (宴),2024-04-01,否,music pяayer|musicprayer|幻想回廊|音祷|音乐播放器
1453,DX,DUAL ROZES,DX,MASTER,13+,13.6,160,BUDDiES+ (宴),2024-04-01,否,dual rozes
1443,DX,壱雫空,DX,MASTER,13+,13.7,204,BUDDiES+ (宴),2024-03-21,否,壱雫空|木柜子|咕咕嘎嘎|mygo|老下空|它下空|一滴雨|粉色奶龙|匕下工|🐧|壳卡空|那啥空|一雫空|高松灯|卖狗|五把伞|士冖匕雨下空|卖沟|某某空|一休尼|一拿空|又有一集开始了
1441,DX,New York Back Raise,DX,MASTER,13+,13.7,160,BUDDiES+ (宴),2024-03-21,否,new york back raise|纽约赌场|nybr|赌场|德州扑克|努力哥输给天赋比|四条输给皇家同花顺|皇家同花顺|纽约回升|新约克回来赌|赌博
1428,DX,Edelweiss,DX,MASTER,13+,13.9,252,BUDDiES+ (宴),2024-03-21,否,edelweiss|雪绒花|熊出没|前往堵门|两猫拆机
1426,DX,エスオーエス,DX,MASTER,13+,13.6,196,BUDDiES+ (宴),2024-03-21,否,エスオーエス|sos|女同19|拉兹乙姬二打一|街机和音游|二打一
1416,DX,Rush-Hour,DX,MASTER,13+,13.8,224,BUDDiES (双),2024-02-16,否,rush-hour|冲一小时|冲一个小时|百事可乐|洗一个小时
1415,DX,HANIPAGANDA,DX,MASTER,13+,13.6,181,BUDDiES (双),2024-02-16,否,hanipaganda|😯|奶龙军团|两排奶龙|埴轮宣扬|汉尼拔|杖刀偶磨弓|奶龙
1410,DX,Ether Second,DX,MASTER,13+,13.9,150,BUDDiES (双),2024-02-02,否,ether second|es2|以太冲击2|以太二|以太秒|以太瞬间|以太第二
1409,DX,Redemption,DX,MASTER,13+,13.9,175,BUDDiES (双),2024-02-02,否,redemption|黑十字星|救赎|特大2|黑南十字|狂犬病|西十字星|黑十字
1406,DX,HUMANBORG,DX,MASTER,13+,13.8,189,BUDDiES (双),2024-01-26,否,humanborg|赛博人|baddest2|人类堡|人类伯格
1389,DX,ふらふらふら、,DX,MASTER,13+,13.7,125,BUDDiES (双),2023-12-22,否,ふらふらふら、|fulafula|摇晃不清|摇摇晃晃|摇摆不定
1388,DX,フェイクフェイス・フェイルセイフ,DX,MASTER,13+,13.8,202,BUDDiES (双),2023-12-22,否,フェイクフェイス・フェイルセイフ|fffs|fakefacefailsafe|fake face fail safe|虚假面孔失效安全
1385,DX,月面基地,DX,MASTER,13+,13.7,180,BUDDiES (双),2023-12-09,否,月面基地|月抛基地
1384,DX,ozma,DX,MASTER,13+,13.9,220,BUDDiES (双),2023-12-09,否,ozma|哦在吗|奥兹玛
1382,DX,PinqPiq (xovevox Remix),DX,MASTER,13+,13.7,150,BUDDiES (双),2023-12-09,否,pinqpiq (xovevox remix)|pinq|pinqpiq|粉猪|乒乓球
1381,DX,トンデモワンダーズ,DX,MASTER,13+,13.6,172,BUDDiES (双),2023-12-09,否,トンデモワンダーズ|不可思议的wonders|不可思议的奇迹|不可思议的wonder|世界解体还有10秒
1377,DX,DANGEROOOOUS JUNGLE,DX,MASTER,13+,13.8,160,BUDDiES (双),2023-11-10,否,dangeroooous jungle|危险丛林|危险森林|超级大腿|阿尔卑斯与危险森林|大腿|dj|单脚拉屎|玉腿
1372,DX,POWER OF UNITY,DX,MASTER,13+,13.8,190,BUDDiES (双),2023-10-20,否,power of unity|pou|我们联合|团结之力|团结就是力量|联合力量|团结力量|团结力量大
1371,DX,my flow,DX,MASTER,13+,13.7,157,BUDDiES (双),2023-10-20,否,my flow|我的流|bolobinelebowigi|我流|我的节奏
1367,DX,星界ちゃんと可不ちゃんのおつかい合騒曲,DX,MASTER,13+,13.8,220,BUDDiES (双),2023-10-06,否,星界ちゃんと可不ちゃんのおつかい合騒曲|星界小姐和可不小姐的外出合奏曲|星界可不合骚曲|马赛克可不|马赛克|星界酱和可不酱的采购合奏曲|星界可不|星界|可不敢笑|猫抓板|圆头耄耋模拟器
1350,DX,OMAKENO Stroke,DX,MASTER,13+,13.8,240,BUDDiES (双),2023-09-14,否,omakeno stroke|小齿轮|😱|omakeno|os|呐喊
1348,DX,IMAWANOKIWA,DX,MASTER,13+,13.7,178,BUDDiES (双),2023-09-14,否,imawanokiwa|临终之际|临终|弥留之际|imawa|ima
1336,DX,Last Kingdom,DX,MASTER,13+,13.8,150,FESTiVAL+ (祝),2023-09-01,否,last kingdom|小lk|luke|lk|最后王国|最后的王国|终末帝|失落王国|拔小蒜
1328,DX,Churros Parlor,DX,MASTER,13+,13.8,190,FESTiVAL+ (祝),2023-08-04,否,churros parlor|油条客厅|cp|达达利亚|巴哈姆特
1325,DX,MAGENTA POTION,DX,MASTER,13+,13.7,150,FESTiVAL+ (祝),2023-07-21,否,magenta potion|魔法药水|指甲油|pmt决胜曲|药水|洋红药水|粉红指甲油|粉香水|品红药水|洋红色药水|品红色药水|假酒害人|红药水|品红|别喝奇怪的品红色药水
1320,DX,あつすぎの歌,DX,MASTER,13+,13.8,180,FESTiVAL+ (祝),2023-07-07,否,あつすぎの歌|hero死了|最热之歌|热死了|夏热歌|热死了之歌|好热|好热歌|太热了|夏热之歌|半夏|阿紫一|啊紫一|棍母|等老奶奶张嘴|神牌|老奶奶
1318,DX,モ°ルモ°ル (MZK Skippin' Remix),DX,MASTER,13+,13.7,136,FESTiVAL+ (祝),2023-07-07,否,モ°ルモ°ル (mzk skippin' remix)|毛儿毛儿remix|毛儿毛儿2|晓山瑞希|毛儿毛儿mzk|mkz|morumoru|モルモル
1317,DX,ここからはじまるプロローグ。 (Kanon Remix),DX,MASTER,13+,13.8,190,FESTiVAL+ (祝),2023-07-07,否,ここからはじまるプロローグ。 (kanon remix)|从现在开始的序曲|像素福瑞remix|kanon remix|福瑞控remix|福瑞控2|像素福瑞2|圣剑0.5|福瑞的135秒|福瑞135|小动物封焰|福瑞小英雄
1316,DX,宵の鳥,DX,MASTER,13+,13.6,145,FESTiVAL+ (祝),2023-06-22,否,宵の鳥|宵的鸟|小鸟|宵之鸟|宵鸟|宵宵鸟|愤怒的小鸟|小纸鸟
1314,DX,リフヴェイン,DX,MASTER,13+,13.6,148,FESTiVAL+ (祝),2023-06-22,否,リフヴェイン|分身|青栗鼠|refvain
1310,DX,『ウソテイ』 ～一回戦せりなvsしろなvsなずな～,DX,MASTER,13+,13.7,190,FESTiVAL+ (祝),2023-06-08,否,『ウソテイ』 ～一回戦せりなvsしろなvsなずな～|一回战|中二兔子跑|兔子跑2|彩绿兔子跑|防空警报|兔子帝2
1304,DX,Complex Mind,DX,MASTER,13+,13.8,175,FESTiVAL+ (祝),2023-05-12,否,complex mind|复合思维|复杂思维|cm|复杂头脑
1303,DX,Halfway(>∀<),DX,MASTER,13+,13.7,175,FESTiVAL+ (祝),2023-05-12,否,halfway(>∀<)|爆能器|halfway|（>▽<）|行百里者半九十|半路|(>∀<)|颜文字|半条路|半场开香槟
1300,DX,コンティニュー！ feat. 藍月なくる,DX,MASTER,13+,13.6,170,FESTiVAL+ (祝),2023-05-12,否,コンティニュー！ feat. 藍月なくる|阿诺内|continue|禁漫娘|继续！|继续|蓝月|贪玩蓝月
1298,DX,にゃーにゃー冒険譚,DX,MASTER,13+,13.7,188,FESTiVAL+ (祝),2023-04-28,否,にゃーにゃー冒険譚|nyanya冒险谭|喵喵冒险谭|哈基米大冒险|妖精冒险谭|冒险谭|卡老师
1293,DX,Final Step!,DX,MASTER,13+,13.8,180,FESTiVAL+ (祝),2023-04-14,否,final step!|天天酷跑|fs|终步|最后一步
1286,DX,Knight Rider,DX,MASTER,13+,13.8,200,FESTiVAL+ (祝),2023-03-23,否,knight rider|骑乘|骑骑|骑骑士士|骑士骑骑士|kr|骑士骑士|疯狂星期四|骑士踢
1284,DX,リスペク風神,DX,MASTER,13+,13.7,135,FESTiVAL+ (祝),2023-03-23,否,リスペク風神|respec fujin|东方风神|东风风神|东方风神录|东方电车|瑞思拜风神|respect fujin|风神|dx风神|小风神|风神2|墨晨|车万风神|respect风神|岚神|风神respect
1276,DX,"Hello, Hologram",DX,MASTER,13+,13.8,161,FESTiVAL+ (祝),2023-03-23,否,"hello, hologram|hello hologram|管人跳舞2|hologram|hh|你好全息图像|全息影像|全息图像|你好全息像|hello,hologram|hello，hologram|你好holo"
1273,DX,ツムギボシ,DX,MASTER,13+,13.9,190,FESTiVAL+ (祝),2023-03-23,否,ツムギボシ|纺星|fes+主题曲|祝代主题曲
1272,DX,Comet Panto Men!,DX,MASTER,13+,13.9,170,FESTiVAL+ (祝),2023-03-23,否,comet panto men!|men！|特大男人|cpm|卖鱼客|彗星哑剧人|特大跳舞|求生之路|man
1271,DX,enchanted wanderer,DX,MASTER,13+,13.8,102,FESTiVAL+ (祝),2023-03-23,否,enchanted wanderer|黑猫|青蛙2|醉心求知者|附魔爱2|青蛙王子2|🐸2|别急21|维什戴尔|附魔流浪者|ew|附魔喵|附魔旅行者|魔法流浪者|蓝青蛙|蓝猫|哈基米王子|猫王子|迷人的流浪者|罗小黑战记
1264,DX,Alice's Suitcase,DX,MASTER,13+,13.7,190,FESTiVAL (祭),2023-03-02,否,alice's suitcase|爱丽丝手提箱|爱丽丝的手提箱|手提箱|🧳|as|爱丽丝
1260,DX,Lost Desire,DX,MASTER,13+,13.8,170,FESTiVAL (祭),2023-03-02,否,lost desire|ld|失去欲望了|失感|失去感觉了|失欲
1258,DX,きゅうくらりん,DX,MASTER,13+,13.7,220,FESTiVAL (祭),2023-02-17,否,きゅうくらりん|心跳不止|心跳不已|可不抱头|晴天娃娃|ddlc|心动不已|心跳不动|纱世里|绿衣女人摸脸蛋|心梗不已|心梗不止|蓝衣哭泣少女|kyu-kurarin
1253,DX,星見草,DX,MASTER,13+,13.8,164,FESTiVAL (祭),2023-02-03,否,星見草|⭐️👁🌿|康庄小道|星见草
1251,DX,ピュグマリオンの咒文,DX,MASTER,13+,13.8,190,FESTiVAL (祭),2023-01-20,否,ピュグマリオンの咒文|黑塔|小魔女咒文|魔法小萝莉|咒文|皮格马利翁的咒文|大黑塔
1247,DX,NightTheater,DX,MASTER,13+,13.9,151,FESTiVAL (祭),2023-01-06,否,nighttheater|夜剧场|night theater|nt|夜剧院
1243,DX,れっつ！みらくる☆はーどこあっ！,DX,MASTER,13+,13.9,185,FESTiVAL (祭),2022-12-23,否,れっつ！みらくる☆はーどこあっ！|wifecore|laur撒狗粮|浮冰|miracle hardcore|雌小鬼|let's miracle☆hardcore|老二和他的老婆|hardcore2|老二老婆|let's miracle hardcore|laur老婆唱歌
1241,DX,Baddest,DX,MASTER,13+,13.7,215,FESTiVAL (祭),2022-12-23,否,baddest|16块钱|太坏了|十六块钱|樋口枫|樋口枫大旋风|坏极了|大b圈|那很坏了|一巴掌13个miss|哈利路大旋风
1240,DX,群青シグナル,DX,MASTER,13+,13.8,206,FESTiVAL (祭),2022-12-16,否,群青シグナル|体育生2|群青|群青2|群青信号|群青讯号|体育生丢篮球
1236,DX,エナドリおいしいソング,DX,MASTER,13+,13.9,140,FESTiVAL (祭),2022-12-02,否,エナドリおいしいソング|能量饮料|东鹏特饮|和亲|能量饮料歌|drink with me|红牛|易拉罐|能量饮料真好喝|斐济杯|功能饮料|脉动|魔爪
1231,DX,Neon Kingdom,DX,MASTER,13+,13.8,130,FESTiVAL (祭),2022-11-18,否,neon kingdom|霓虹王国|霓虹国度|霓虹|霓虹城|nk
1230,DX,You Mean the World to Me,DX,MASTER,13+,13.7,180,FESTiVAL (祭),2022-11-18,否,you mean the world to me|你是我的世界|ymtwtm|我的世界|你是我的全世界|凯尔希2|你是我的全部|我喜欢你
1226,DX,モンダイナイトリッパー！,DX,MASTER,13+,13.6,180,FESTiVAL (祭),2022-11-04,否,モンダイナイトリッパー！|指南针|没问题tripper|モンダイナイトリッパー|萌呆奶|没问题|tripper|名取纱那|旅行者|没问题！Tripper！|兔兔|没问题旅行家
1225,DX,Destiny Runner,DX,MASTER,13+,13.9,190,FESTiVAL (祭),2022-10-21,否,destiny runner|蕾米莉亚|dr|命运跑者|命运奔跑者
1222,DX,MAGNETAR GIRL,DX,MASTER,13+,13.8,170,FESTiVAL (祭),2022-10-21,否,magnetar girl|磁铁女孩|磁星女孩|mg|柚子
1216,DX,Random,DX,MASTER,13+,13.7,132,FESTiVAL (祭),2022-09-22,否,random|阮冬木|随机|燃冬
1204,DX,分解収束テイル,DX,MASTER,13+,13.7,186,FESTiVAL (祭),2022-09-15,否,分解収束テイル|分解收束
1203,DX,[X],DX,MASTER,13+,13.7,162,FESTiVAL (祭),2022-09-15,否,[x]|twitter|无穷大|艾克斯|x|13.7|无限|推特|叉|∞|高斯函数
1201,DX,Rainbow Rush Story,DX,MASTER,13+,13.8,200,FESTiVAL (祭),2022-09-15,否,rainbow rush story|彩框冲刺故事|终点2|彩虹冲故事|rrs|冲向彩虹|彩虹冲刺故事|雨后小故事|彩虹急急故事|彩彩奔
1197,DX,See The Light,DX,MASTER,13+,13.7,150,UNiVERSE+ (星),2022-09-02,否,see the light|喜德来|喜之郎|看见光|金坷垃|stl|看光|屎都濑
1193,DX,エゴロック,DX,MASTER,13+,13.8,225,UNiVERSE+ (星),2022-08-19,否,エゴロック|自由摇滚|自我摇滚|煎饼歌|煎饼|egorock|ego rock
1190,DX,Jouez Avec Moi?,DX,MASTER,13+,13.8,162,UNiVERSE+ (星),2022-08-05,否,jouez avec moi?|陪我玩|和我玩|moi|问号|跟我玩|来玩|来一起玩|法文歌2|jam|一起玩？
1188,DX,白花の天使,DX,MASTER,13+,13.8,200,UNiVERSE+ (星),2022-08-05,否,白花の天使|东雪莲2|冬雪の莲莲|白花天使|白花的天使|白花
1186,DX,folern,DX,MASTER,13+,13.9,200,UNiVERSE+ (星),2022-07-22,否,folern|北冰洋|迪希雅|水陈|佛冷|给我玩中二节奏
1183,DX,Reach For The Stars (Re-Colors),DX,MASTER,13+,13.9,203,UNiVERSE+ (星),2022-07-11,否,reach for the stars (re-colors)|dx追星|索5|彩追星|新追星|追星2|追星remix
1181,DX,OTOGEMA,DX,MASTER,13+,13.6,145,UNiVERSE+ (星),2022-07-11,否,otogema|狗打碟|音游玩家|otto干嘛|otto|10周年|ottogema|ottogame|电棍|十周年|音游人|oto|wmc|舞萌吃
1174,DX,星空パーティーチューン,DX,MASTER,13+,13.7,230,UNiVERSE+ (星),2022-06-24,否,星空パーティーチューン|童颜巨乳|party tune|星空|星空party tune|奶子很大|兎花宮|新海天|星空叙爱曲|兔花宫
1171,DX,Princess♂,DX,MASTER,13+,13.8,92,UNiVERSE+ (星),2022-06-10,否,princess♂|公猪|古明地恋|男公主|别急16|立本rap|男娘2|公主|👸|princess|😋
1168,DX,HAGAKIRI,DX,MASTER,13+,13.9,172,UNiVERSE+ (星),2022-05-27,否,hagakiri|橘花|牛顿环|hgkr|健身环|憋憋|老妹环|光圈科技|八云紫拿着乾坤圈
