No.,分类,曲名,创作者,谱面,BPM,版本,别名
1462,niconico,リレイアウター,稲葉曇,STD 3 | STD 6 | STD 9 | STD 13+,151,LUMINOUS,中继输出者
1461,POPS & ANIME,さくゆいたいそう,さくゆい,STD 3 | STD 6 | STD 9+ | STD 11+,160,LUMINOUS,
1460,WORLD'S END,人生攻略☆Tips,れるりり feat.konoco,WE 【割】☆,,LUMINOUS,人生攻略
1459,WORLD'S END,フリーフォール,Zekk「WACCA」,WE 【跳】☆,,,自由落体
1458,WORLD'S END,セカイはまだ始まってすらいない,ピノキオピー / 初音ミク / ワンダーランズ×ショウタイム「プロジェクトセカイ カラフルステージ！ feat. 初音ミク」,WE 【招】☆,,,
1457,ゲキマイ,SILENT BLUE,かねこちはる,STD 4 | STD 7+ | STD 13 | STD 14,210,LUMINOUS,sb|静蓝
1456,ORIGINAL,liberate,somunia × nyankobrq,STD 3 | STD 6 | STD 10 | STD 13,174,LUMINOUS,
1455,ORIGINAL,驚異の魔法,長瀬有花,STD 2 | STD 7 | STD 11 | STD 13+,140,LUMINOUS,
1454,ORIGINAL,ウニの歌,周防パトラ,STD 4 | STD 7+ | STD 11 | STD 14+,210,LUMINOUS,污泥|屎|乌尼|wuni|海胆|uni
1453,ORIGINAL,ZegalltA,Se-U-Ra,STD 4 | STD 9+ | STD 13 | STD 15,234,LUMINOUS,zga|屎|zega|史歌|泽格塔
1452,ORIGINAL,colorful,higma feat.ほとけ,STD 3 | STD 6 | STD 10 | STD 13,182,LUMINOUS,
1451,ORIGINAL,MyPaceInvention,キツネリ feat.わかばやし,STD 3 | STD 6 | STD 9+ | STD 12,186,LUMINOUS,
1450,ORIGINAL,君と夏色っ！～わんダフルバケーション～,コバヤシユウヤ（IOSYS） feat.まるもこ,STD 3 | STD 6 | STD 10 | STD 12+,155,LUMINOUS,
1449,ORIGINAL,少女PastQ,雄之助 feat.ねんね,STD 2 | STD 5 | STD 8+ | STD 11+,135,LUMINOUS,
1448,ゲキマイ,Sage,かめりあ,STD 3 | STD 7+ | STD 13 | STD 14+,145,LUMINOUS,撒哥
1447,ゲキマイ,MarbleBlue.,MisoilePunch♪,STD 4 | STD 8+ | STD 13+ | STD 15,198,LUMINOUS,妈宝蓝|大理石蓝|蓝弹珠
1446,ゲキマイ,オン×ステージ！,曲：塩野 海／歌：星咲 あかり(CV：赤尾 ひかる)、式宮 舞菜(CV：牧野 天音),STD 3 | STD 6 | STD 8+ | STD 12,170,LUMINOUS,
1445,イロドリミドリ,どこにもいかない,箱部 なる(CV:M・A・O),STD 2 | STD 5 | STD 9+ | STD 12,146,LUMINOUS,
1444,VARIETY,Big Bang,Massive New Krew「WACCA」,STD 4 | STD 7 | STD 12 | STD 15,160,LUMINOUS,大爆炸|大棒|大爆
1443,VARIETY,Jakarta PROGRESSION,KURORAK「Cytus Ⅱ」,STD 2 | STD 7 | STD 12 | STD 14,140,LUMINOUS,雅加达
1442,VARIETY,華麗なる死闘,Toby Fox「UNDERTALE」,STD 3 | STD 6 | STD 11 | STD 13+,148,LUMINOUS,一场壮丽的殊死搏斗|殊死搏斗|MTT
1441,VARIETY,本物のヒーローとの戦い,Toby Fox「UNDERTALE」,STD 3 | STD 6 | STD 11+ | STD 14+,150,LUMINOUS,决心鱼|鱼姐|安黛因
1440,niconico,星界ちゃんと可不ちゃんのおつかい合騒曲,南ノ南,STD 3 | STD 7+ | STD 12 | STD 14,220,LUMINOUS,屎|ba|星姐
1439,niconico,強風オールバック,ゆこぴ,STD 2 | STD 5 | STD 8+ | STD 12+,135,LUMINOUS,强风大背头|强风
1438,niconico,ラブカ？,柊キライ,STD 2 | STD 7 | STD 10 | STD 13+,135,LUMINOUS,
1437,POPS & ANIME,STORM,JAM Project featuring 水木一郎、影山ヒロノブ,STD 2 | STD 5 | STD 9 | STD 12,137,LUMINOUS,风暴
1436,POPS & ANIME,アイドル,YOASOBI,STD 3 | STD 5 | STD 9+ | STD 12+,166,LUMINOUS,星野爱|idol|偶像
1435,POPS & ANIME,マツケンサンバⅡ,松平健 [covered by 光吉猛修],STD 2 | STD 5 | STD 9+ | STD 12+,133,LUMINOUS,
1434,POPS & ANIME,"トウキョウ・シャンディ・ランデヴ feat. 花譜, ツミキ",MAISONdes,STD 2 | STD 6 | STD 10 | STD 13,137,LUMINOUS,
1433,POPS & ANIME,可愛くてごめん,HoneyWorks feat. ちゅーたん(CV:早見沙織),STD 3 | STD 5 | STD 9 | STD 11+,160,LUMINOUS,这么可爱真是抱歉|果咩
1432,POPS & ANIME,ALIVE,ClariS「リコリス・リコイル」,STD 3 | STD 6 | STD 9 | STD 12+,180,LUMINOUS,
1431,ゲキマイ,Yorugao,An & Ryunosuke Kudo,STD 3 | STD 7+ | STD 12 | STD 14+,182,SUN PLUS,犹乳膏|屎|大便|犹如高|有乳膏|夜颜|紫黑
1430,ゲキマイ,Paradisoda,魂音泉,STD 2 | STD 5 | STD 9 | STD 12+,135,SUN PLUS,苏打
1429,ゲキマイ,ワンダーシャッフェンの法則,アリスシャッハと魔法の楽団,STD 3 | STD 6 | STD 10 | STD 14,170,SUN PLUS,百合咲
1428,ゲキマイ,Singularity,technoplanet,STD 3 | STD 9+ | STD 13+ | STD 15,200,SUN PLUS,寄点|奇点|理财产品
1427,ゲキマイ,Let's Starry Party！,曲：原田篤（Arte Refact）／歌：⊿TRiEDGE [高瀬 梨緒(CV：久保 ユリカ)、結城 莉玖(CV：朝日奈 丸佳)、藍原 椿(CV：橋本 ちなみ)],STD 2 | STD 6 | STD 10 | STD 12,108,SUN PLUS,
1426,POPS & ANIME,未来への咆哮,JAM Project feat. 影山ヒロノブ・遠藤正明・きただにひろし・福山芳樹,STD 2 | STD 6 | STD 8 | STD 11+,140,SUN PLUS,未来咆哮
1425,POPS & ANIME,ドーナドーナのうた,水夏える feat.月乃,STD 2 | STD 6 | STD 8+ | STD 12,152,SUN PLUS,
1424,POPS & ANIME,Love Cheat!,MOSAIC.WAV,STD 3 | STD 7+ | STD 9+ | STD 13+,195,SUN PLUS,
1423,ゲキマイ,GEOMETRIC DANCE,山本真央樹,STD 3 | STD 8+ | STD 12 | STD 14+,150,SUN PLUS,几何舞|理财产品
1422,POPS & ANIME,キズナヒトツ,ムラサメ (CV：佐藤 みかん) 「千恋＊万花」,STD 2 | STD 5 | STD 8 | STD 10+,112,SUN PLUS,
1421,POPS & ANIME,茉子の日常,常陸 茉子 (CV：小鳥居 夕花) 「千恋＊万花」,STD 3 | STD 5 | STD 8+ | STD 12,160,SUN PLUS,柚子厨|茉子的日常|常陆茉子
1420,ゲキマイ,sølips,rintaro soma,STD 4 | STD 9+ | STD 13+ | STD 15,199,SUN PLUS,嗦|solips|蓝的盘|一百块
1419,ゲキマイ,ぽかぽか温泉音頭,曲：橘亮祐、篠崎あやと／歌：三角 葵(CV：春野 杏)、逢坂 茜(CV：大空 直美)、日向 千夏(CV：岡咲 美保),STD 3 | STD 5 | STD 9 | STD 12,150,SUN PLUS,
1418,ORIGINAL,Chaotic Ørder,TAG VS Kai,STD 5 | STD 11 | STD 14 | STD 15+,165,SUN PLUS,超市点单|chaoticorder|chaotic order|oo|co|点单|超市点餐|混沌指令|混沌秩序
1417,VARIETY,Wildfire,USAO,STD 4 | STD 9 | STD 13 | STD 14+,208,SUN PLUS,野火|台球
1416,VARIETY,Odin,Gram,STD 3 | STD 8+ | STD 13+ | STD 15,200,SUN PLUS,艾伦沃克|奥丁|费大|阿兰走路人
1415,VARIETY,Breaking Dawn (feat. 棗いつき),Getty & Kobaryo,STD 3 | STD 7 | STD 10 | STD 13,180,SUN PLUS,
1414,VARIETY,めっちゃ煽ってくるタイプの音ゲーボス曲ちゃんなんかに負けないが？？？？？,t+pazolite feat. ななひら,STD 3 | STD 8 | STD 11+ | STD 14+,222,SUN PLUS,
1413,VARIETY,HiGHER,REDALiCE,STD 3 | STD 7 | STD 11 | STD 13+,169,SUN PLUS,更高
1412,東方Project,シアワセうさぎ,ビートまりお＋あまね（COOL&CREATE）,STD 3 | STD 5 | STD 9 | STD 12,140,SUN PLUS,
1411,東方Project,カリスマ煉獄天神,森羅万象,STD 2 | STD 6 | STD 9 | STD 12+,137,SUN PLUS,
1410,ゲキマイ,Regulus,お月さま交響曲,STD 4 | STD 9+ | STD 11+ | STD 14,212,SUN PLUS,大扔子|巨乳|热咕噜|星锑
1409,イロドリミドリ,Λlteration,小仏 凪(CV:佐倉 薫)＆月鈴 白奈(CV:高野 麻里佳)＆御形 アリシアナ(CV:福原 綾香)＆桔梗 小夜曲(CV:原田 彩楓),STD 3 | STD 6 | STD 10 | STD 14,140,SUN PLUS,alteration
1408,POPS & ANIME,Goodbye Innocence,She is Legend「ヘブンバーンズレッド」,STD 3 | STD 6 | STD 10 | STD 12+,175,SUN PLUS,
1407,POPS & ANIME,Sad Creature,麻枝 准×やなぎなぎ「ヘブンバーンズレッド」,STD 3 | STD 6 | STD 9+ | STD 12+,176,SUN PLUS,
1406,ゲキマイ,反撃! 突撃! Back To Back!,曲：矢鴇つかさ & 脇眞富（Arte Refact）／歌：星咲 あかり(CV：赤尾 ひかる)、高瀬 梨緒(CV：久保 ユリカ),STD 3 | STD 6 | STD 8+ | STD 13,136,SUN PLUS,反击|反击突击
1405,ORIGINAL,"《創造》 ～ Cries, beyond The End",Katzeohr & Spiegel,STD 4 | STD 9+ | STD 13+ | STD 15,215,SUN PLUS,创造
1404,ORIGINAL,《慈雨》 ～ La Symphonie de Salacia: Agony Movement,Jehezukiel (feat.Sagi & KURORAK),STD 2 | STD 6 | STD 11+ | STD 14,144,SUN PLUS,慈雨|丛雨
1403,ORIGINAL,《散華》 ～ EMBARK,Farhan Sarasin,STD 3 | STD 6 | STD 10+ | STD 13,170,SUN PLUS,散华
1402,ORIGINAL,《楽土》 ～ One and Only One,Victor Kong & Yukino,STD 3 | STD 5 | STD 11 | STD 13+,132,SUN PLUS,乐土
1401,ORIGINAL,《真紅》 ～ Pavane Pour La Flamme,林柏勲 Bo-Xun Lin feat.幻子 Maboroshiko,STD 3 | STD 6 | STD 11 | STD 14,165,SUN PLUS,真红
1400,WORLD'S END,月の光,大国奏音「原曲:ドビュッシー」,WE 【蔵】☆☆☆☆,,,月光|德彪西|月的光
1399,WORLD'S END,M.S.S.Planet,M.S.S Project,WE 【割】☆☆☆,,SUN PLUS,
1398,WORLD'S END,ETERNAL DRAIN,カラフル・サウンズ・ポート,WE 【狂】☆☆☆,,SUN PLUS,
1397,ゲキマイ,Vibes 2k20,Sound Artz,STD 2 | STD 7+ | STD 11+ | STD 14,149,SUN PLUS,雅迪|2020
1396,イロドリミドリ,ONE SAME GOAL,箱部 なる(CV:M・A・O)＆藤堂 陽南袴(CV:八島 さらら)＆天王洲 なずな(CV:山本 彩乃),STD 2 | STD 6 | STD 10 | STD 13+,150,SUN PLUS,
1395,niconico,snooze,wotaku feat. SHIKI,STD 2 | STD 7+ | STD 10 | STD 13+,150,SUN PLUS,屎
1394,niconico,ちょっとあざとい,才歌,STD 2 | STD 6 | STD 8+ | STD 12,165,SUN PLUS,
1393,niconico,あなたは世界の終わりにずんだを食べるのだ,なみぐる,STD 2 | STD 5 | STD 7+ | STD 12+,140,SUN PLUS,
1392,ゲキマイ,スン(マイル)フラワー～Sun(Mile)Flower,曲：Funta7／歌：星咲 あかり(CV：赤尾 ひかる)、日向 千夏(CV：岡咲 美保),STD 3 | STD 6 | STD 9 | STD 12+,160,SUN PLUS,
1391,VARIETY,セガサターン起動音[H.][Remix],Hiro,STD 2 | STD 5 | STD 10 | STD 14,148,SUN PLUS,上虹推荐|启动音|土星
1390,VARIETY,ばかみたい【Taxi Driver Edition】,桐生一馬(黒田崇矢),STD 1 | STD 5 | STD 8 | STD 13,74,SUN PLUS,
1389,POPS & ANIME,story,前島麻由「異世界おじさん」,STD 3 | STD 7 | STD 10 | STD 13+,220,SUN PLUS,
1388,niconico,いつかオトナになれるといいね。,ツユ,STD 3 | STD 6 | STD 9+ | STD 12+,176,,
1387,POPS & ANIME,#あくあ色ぱれっと,湊あくあ（ホロライブ）,STD 2 | STD 5 | STD 9 | STD 11+,156,SUN PLUS,阿夸
1386,POPS & ANIME,Night Spider,▽▲TRiNITY▲▽,STD 2 | STD 5 | STD 9 | STD 13,130,SUN PLUS,
1385,ゲキマイ,Cult future,LV.4,STD 3 | STD 8+ | STD 12+ | STD 15,175,SUN PLUS,🥚|天使尘2|邪教未来
1384,イロドリミドリ,リハーサルタイム,明坂 芹菜(CV:新田 恵海)＆萩原 七々瀬(CV:東城 日沙子)＆芒崎 奏(CV:立花 理香),STD 2 | STD 5 | STD 8+ | STD 12+,130,SUN PLUS,
1383,ORIGINAL,βlαnoir,Aoi,STD 4 | STD 9 | STD 13+ | STD 15,202,SUN PLUS,大贝塔|ba|碧蓝档案|蔚蓝档案|blanoir|βα|bla|黑白
1382,ORIGINAL,空間創造理論,Sound piercer,STD 3 | STD 7 | STD 12 | STD 14+,138,SUN PLUS,空间创造理论
1381,ORIGINAL,Superbia,Team Grimoire,STD 4 | STD 9 | STD 13+ | STD 14+,195,SUN PLUS,超级胸罩
1380,ORIGINAL,夢と幻想の終点にて,しーけー,STD 3 | STD 7 | STD 11 | STD 14,230,SUN PLUS,
1379,WORLD'S END,お空のニュークリアフュージョン道場,ARM＋夕野ヨシミ (IOSYS) feat. 藤枝あかね,WE 【両】☆☆,,,
1378,WORLD'S END,モア！ジャンプ！モア！,ナユタン星人 / 初音ミク / MORE MORE JUMP！「プロジェクトセカイ カラフルステージ！ feat. 初音ミク」,WE 【跳】☆☆☆,,SUN PLUS,mjm|more jump more|元气少女蹦蹦蹦
1377,WORLD'S END,Revived,UNDEAD CORPORATION,WE 【狂】☆☆☆,,SUN PLUS,
1376,ゲキマイ,夏色花火,"曲：穴山大輔, 水野健治／歌：藤沢 柚子(CV：久保田 梨沙)、早乙女 彩華(CV：中島 唯)",STD 1 | STD 4 | STD 8+ | STD 11,85,SUN PLUS,
1375,niconico,ド屑,なきそ,STD 2 | STD 6 | STD 10 | STD 13,115,SUN PLUS,
1374,niconico,悪魔の踊り方,キタニタツヤ,STD 2 | STD 5 | STD 8 | STD 12+,106,SUN PLUS,
1373,niconico,異星にいこうね,いよわ　feat.星界,STD 3 | STD 6 | STD 11 | STD 13,192,SUN PLUS,
1372,niconico,カノン,柊マグネタイト　feat.可不,STD 3 | STD 6 | STD 9 | STD 12+,185,SUN PLUS,
1371,niconico,花となれ,雄之助　feat. 可不,STD 2 | STD 5 | STD 9 | STD 11+,130,SUN PLUS,
1370,ゲキマイ,Aiolos,xi,STD 4 | STD 9 | STD 13+ | STD 15,205,SUN PLUS,啊米诺斯
1369,ORIGINAL,deadeye,Acotto,STD 4 | STD 8+ | STD 12+ | STD 14+,167,SUN PLUS,死眼
1368,ORIGINAL,REL0VE REL1VE,CHUBAY×打打だいず,STD 3 | STD 8 | STD 12+ | STD 13+,155,SUN PLUS,
1367,ORIGINAL,白庭,くるぶっこちゃん,STD 4 | STD 8 | STD 12 | STD 14,111,SUN PLUS,
1366,ORIGINAL,とあちゃんのおもちゃ箱,linear ring,STD 2 | STD 9 | STD 12 | STD 14+,106,SUN PLUS,玩具箱
1365,ORIGINAL,うたかたのせかいで,DJ Raisei vs. Setca. feat.nayuta,STD 3 | STD 8 | STD 13 | STD 14+,216,SUN PLUS,导师2|泡沫世界|导师|utakatanosekaide|米姆2
1364,POPS & ANIME,ハイファイ☆デイズ,佐々木千枝、櫻井桃華、市原仁奈、龍崎薫、赤城みりあ「アイドルマスター シンデレラガールズ」,STD 3 | STD 6 | STD 9+ | STD 12+,191,SUN PLUS,
1363,ゲキマイ,シンデレラディスコ,曲：橘亮祐、篠崎あやと／歌：藍原 椿(CV：橋本 ちなみ)、早乙女 彩華(CV：中島 唯),STD 2 | STD 6 | STD 8 | STD 12,130,SUN PLUS,
1362,VARIETY,Survive,Kevin Penkin feat. Nikki Simmons「Cytus Ⅱ」,STD 2 | STD 7+ | STD 11 | STD 13+,131,SUN PLUS,
1361,VARIETY,Hydra,James Landino X Akira Complex「Cytus Ⅱ」,STD 3 | STD 8 | STD 11+ | STD 14,160,SUN PLUS,石|hydra|嗨爪|九头蛇
1360,POPS & ANIME,よりみちリトルスター,U149　TVアニメ「アイドルマスター シンデレラガールズ U149」,STD 3 | STD 6 | STD 9 | STD 12+,189,SUN PLUS,
1359,POPS & ANIME,Shine In The Sky☆,U149　TVアニメ「アイドルマスター シンデレラガールズ U149」,STD 3 | STD 6 | STD 8+ | STD 12,170,SUN PLUS,
1358,niconico,ゴー・トゥ・大都会,"月裏, ニャン・トンロン",STD 3 | STD 6 | STD 11 | STD 14,128,,
1357,niconico,独りんぼエンヴィー,koyori（電ポルP）,STD 2 | STD 5 | STD 8 | STD 11,132,SUN PLUS,虾|ebi
1356,ゲキマイ,LiftOff,MAYA AKAI,STD 2 | STD 7+ | STD 12 | STD 14+,137,SUN PLUS,妈呀阿卡伊
1355,イロドリミドリ,Snow Colored Score,イロドリミドリ,STD 3 | STD 5 | STD 8+ | STD 11+ | STD 14,164,SUN PLUS,
1354,POPS & ANIME,放課後マーメイド,しぐれうい,STD 3 | STD 6 | STD 9 | STD 12,164,SUN PLUS,
1353,POPS & ANIME,Pris-Magic!,しぐれうい,STD 2 | STD 5 | STD 8+ | STD 13,126,SUN PLUS,
1352,東方Project,夜のサーカス,Liz Triangle,STD 3 | STD 7 | STD 9+ | STD 13+,192,SUN PLUS,
1351,東方Project,幻想症候群,幽閉サテライト,STD 2 | STD 5 | STD 9 | STD 11+,148,SUN PLUS,妹妹吃苹果
1350,VARIETY,Quon,DJ Noriken「WACCA」,STD 3 | STD 8 | STD 11 | STD 13+,170,SUN PLUS,
1349,VARIETY,Invisible Frenzy,Kobaryo「WACCA」,STD 4 | STD 9+ | STD 13 | STD 15,245,SUN PLUS,雅迪|IF|扑棱蛾子
1348,VARIETY,フリーフォール,Zekk「WACCA」,STD 3 | STD 8 | STD 11 | STD 14,180,SUN PLUS,自由落体
1347,VARIETY,neu,少年ラジオ,STD 3 | STD 9 | STD 13+ | STD 15,199,SUN PLUS,
1346,WORLD'S END,Aleph-0,LeaF,WE 【避】☆☆☆☆☆,,SUN PLUS,阿列夫|阿列夫0|aleph|琪露诺|AJ没鸟|AJ没鸟加|数学课堂|a0|臀萌金曲
1345,WORLD'S END,なにやってもうまくいかない,meiyo,WE 【光】☆☆,,,
1344,WORLD'S END,痛快リズムアクション「B.B.K.K.B.K.K.」,Sampling masters なる＆せりな feat.なでしこ,WE 【覚】☆☆,,,彩绿bk
1343,イロドリミドリ,プライマリー進化論,HaNaMiNa feat.芒崎 奏,STD 3 | STD 6 | STD 9 | STD 12+,158,SUN PLUS,
1342,ORIGINAL,Makear,MisoilePunch♪,STD 4 | STD 9+ | STD 14 | STD 15+,270,SUN PLUS,
1341,ORIGINAL,ASH,cubesato,STD 2 | STD 4 | STD 10 | STD 14,124,SUN PLUS,sx|wh
1340,ORIGINAL,Dive a Wave,蝶々P feat.くろくも,STD 2 | STD 5 | STD 9+ | STD 12+,134,SUN PLUS,
1339,ORIGINAL,やめらんないな!,薄塩指数 feat.KMNZ LIZ,STD 3 | STD 6 | STD 9 | STD 12,182,SUN PLUS,
1338,ORIGINAL,ウルガレオン,bermei.inazawa,STD 4 | STD 7+ | STD 13 | STD 14+,142,SUN PLUS,
1337,ゲキマイ,オンソクデイズ!!,cosMo＠暴走P,STD 5 | STD 8+ | STD 12+ | STD 14+,260,SUN PLUS,摇起来|三小只|音速日子|onsoku days
1336,ゲキマイ,LAMIA,BlackY,STD 3 | STD 9 | STD 14 | STD 15,199,SUN PLUS,刹那|香草|雅迪|拉面|拉米亚
1335,ゲキマイ,雷切-RAIKIRI-,kanone,STD 3 | STD 9 | STD 12+ | STD 14+,165,SUN PLUS,雷切
1334,VARIETY,もぺもぺ,LeaF,STD 2 | STD 5 | STD 12+ | STD 14,100,SUN PLUS,小花花|儿童鞋垫|儿童邪典|mopemope|儿童金曲|mope
1333,niconico,酔いどれ知らず,Kanaria,STD 2 | STD 5 | STD 10 | STD 13+,115,SUN PLUS,不知醉
1332,niconico,サラマンダー,DECO*27,STD 3 | STD 6 | STD 9 | STD 12,172,SUN PLUS,沙拉曼达|萨拉曼达
1331,niconico,カレシのジュード,syudou,STD 3 | STD 6 | STD 9+ | STD 13,165,SUN PLUS,男朋友
1330,POPS & ANIME,おとせサンダー,ぼっちぼろまる,STD 3 | STD 6 | STD 9+ | STD 11+,177,SUN PLUS,落下雷霆
1329,POPS & ANIME,刃渡り2億センチ(TV edit),マキシマム ザ ホルモン「チェンソーマン」,STD 2 | STD 7 | STD 12 | STD 14+,150,SUN PLUS,电锯人|屎|大便|2亿厘米大刀
1328,POPS & ANIME,祝福,YOASOBI「機動戦士ガンダム 水星の魔女」,STD 3 | STD 6 | STD 9 | STD 12,170,SUN PLUS,祝福|高达
1327,POPS & ANIME,新時代（ウタfrom ONE PIECE FILM RED）,Ado,STD 3 | STD 6 | STD 9 | STD 12,175,SUN PLUS,新时代
1326,POPS & ANIME,INTERNET OVERDOSE,Aiobahn feat. KOTOKO「NEEDY GIRL OVERDOSE」,STD 3 | STD 6 | STD 8+ | STD 13,163,SUN PLUS,主播女孩|地雷女|超天酱
1325,POPS & ANIME,ギターと孤独と蒼い惑星,結束バンド「ぼっち・ざ・ろっく！」,STD 3 | STD 6 | STD 9+ | STD 12,193,SUN PLUS,孤独摇滚|吉他与孤独与蓝色星球|孤独摇滚2
1324,POPS & ANIME,青春コンプレックス,結束バンド「ぼっち・ざ・ろっく！」,STD 3 | STD 6 | STD 9 | STD 12+,190,SUN PLUS,孤独摇滚|青春症候群
1323,ゲキマイ,STARRED HEART,曲：広川恵一 (MONACA)／歌：オンゲキシューターズ,STD 2 | STD 5 | STD 8 | STD 12,140,SUN PLUS,
1322,ゲキマイ,Resolution,曲：ANCHOR／歌：皇城 セツナ(CV：八巻 アンナ),STD 3 | STD 7 | STD 10+ | STD 13+,190,SUN,决心|刹那|老婆
1321,ゲキマイ,ぱくぱく☆がーる,曲：齋藤大／歌：珠洲島 有栖(CV：長縄 まりあ),STD 2 | STD 5 | STD 9+ | STD 12,121,SUN,江江报菜名
1320,ゲキマイ,MAXRAGE,EBIMAYO ,STD 4 | STD 9 | STD 12 | STD 14,222,SUN,满怒|极怒
1319,ゲキマイ,VIIIbit Explorer,Lime,STD 3 | STD 7+ | STD 12 | STD 14,188,SUN,8bit|八比特|浏览器
1318,ゲキマイ,超常マイマイン,ナユタン星人,STD 3 | STD 5 | STD 10 | STD 12,178,SUN,超常maimai
1317,ゲキマイ,SUPER AMBULANCE,AJURIKA,STD 3 | STD 8 | STD 13+ | STD 14+,200,SUN,超级救护车
1316,niconico,少女レイ,みきとP,STD 3 | STD 5 | STD 9 | STD 12,150,SUN,少女灵
1315,niconico,魔法少女とチョコレゐト,ピノキオピー,STD 3 | STD 5 | STD 8+ | STD 13,150,SUN,
1314,POPS & ANIME,五等分のカタチ,中野家の五つ子（花澤香菜・竹達彩奈・伊藤美来・佐倉綾音・水瀬いのり）「五等分の花嫁∬」,STD 2 | STD 6 | STD 9 | STD 11,158,SUN,五等分的花嫁|五等分
1313,WORLD'S END,4月1日でございました,Cranky,WE 【嘘】☆☆☆,,X-VERSE-X,愚人节|41|4月1日|屎|地雷|四月一|三月七
1312,WORLD'S END,【3Dサウンド】小夜ちゃんが秘密裏に手に入れたヤベエ機材でヤベエ音を録る話【イヤホン推奨】（EDテーマ：A.S.S.S.M.R.）,桔梗 小夜曲(CV:原田 彩楓),WE 【嘘】☆☆☆,,X-VERSE-X,
1311,ゲキマイ,Moon of Noon,Sampling Masters MEGA,STD 5 | STD 9+ | STD 12 | STD 14,200,SUN,月儿子|大便|屎
1310,VARIETY,「四季」より「冬」,光吉猛修「原曲:ヴィヴァルディ」,STD 3 | STD 6 | STD 12 | STD 14,150,SUN,四季|安东尼奥|维尔瓦第|四季冬
1309,VARIETY,月の光,大国奏音「原曲:ドビュッシー」,STD 6 | STD 7 | STD 10+ | STD 14+,98,SUN,月光|德彪西|月的光
1308,VARIETY,幻想即興曲,穴山大輔「原曲:ショパン」,STD 4 | STD 7+ | STD 12 | STD 15,160,SUN,肖邦|幻想即兴曲
1307,ゲキマイ,進め！マイウェイ！,曲：篠崎あやと、橘亮祐／歌：マーチングポケッツ [日向 千夏(CV：岡咲 美保)、柏木 美亜(CV：和氣 あず未)、東雲 つむぎ(CV：和泉 風花)],STD 2 | STD 5 | STD 9 | STD 12,160,SUN,
1306,VARIETY,Sheriruth,Team Grimoire「Arcaea」,STD 4 | STD 8+ | STD 12 | STD 14+,185,SUN,射日如桃花|sheriruth|黑魔王
1305,VARIETY,迷える音色は恋の唄,からとPαnchii少年 feat.はるの「Arcaea」,STD 3 | STD 5 | STD 10 | STD 13+,165,SUN,恋歌1|恋歌
1304,VARIETY,Alice's Suitcase,Endorfin.「Arcaea」,STD 3 | STD 6 | STD 9+ | STD 13,190,SUN,旅行箱|爱丽丝|alice|手提箱
1303,VARIETY,PRAGMATISM -RESURRECTION-,Laur「Arcaea」,STD 4 | STD 6 | STD 11+ | STD 14,174,SUN,白复生|白魔王|白魔王复生|白出生
1302,VARIETY,Alexandrite,WAiKURO「Arcaea」,STD 3 | STD 8 | STD 13 | STD 14,146,SUN,变石
1301,ゲキマイ,FLUFFY FLASH,Kobaryo,STD 4 | STD 9 | STD 12 | STD 14+,252,SUN,ff
1300,イロドリミドリ,Magic Rock'n Roll Maker,月鈴 白奈(CV:高野 麻里佳)＆葛城 華(CV:丸岡 和佳奈),STD 3 | STD 7+ | STD 9 | STD 12+,260,SUN,
1299,niconico,フューチャー・イヴ,sasakure.UK feat. 初音ミク,STD 5 | STD 7 | STD 10+ | STD 13+,190,SUN,future eve|初音未来
1298,niconico,ワールドイズマイン,supercell feat. 初音ミク,STD 3 | STD 5 | STD 8+ | STD 12,165,SUN,
1297,POPS & ANIME,だじゃれくりえぃしょん,名取さな,STD 3 | STD 7 | STD 9+ | STD 12,175,SUN,
1296,POPS & ANIME,アマカミサマ,名取さな,STD 3 | STD 6 | STD 9+ | STD 11+,174,SUN,
1295,ORIGINAL,To：Be Continued,uma vs. ガリガリさむし,STD 5 | STD 11+ | STD 14 | STD 15+,212,SUN,tbc|未完待续|理财产品
1294,ゲキマイ,RELOAD,sky_delta,STD 3 | STD 6 | STD 11 | STD 14,160,SUN,重载
1293,ゲキマイ,U&iVERSE -銀河鸞翔-,Kai VS 大国奏音 VS 水野健治,STD 4 | STD 7 | STD 10+ | STD 14,140,SUN,银河翱翔|银河鸾翔|银河鸟翔
1292,ゲキマイ,No Limit RED Force,曲：本多友紀（Arte Refact）／歌：オンゲキシューターズ,STD 2 | STD 6 | STD 8+ | STD 13,146,SUN,
1291,ORIGINAL,Daphnis,Sobrem a.k.a. Widowmaker,STD 5 | STD 9+ | STD 14 | STD 15+,204,SUN,大滨州|山东人|大扣西|扣西|雅迪|大滨周|老公|安夏尔|大奔周|dapenis|大几把
1290,ORIGINAL,Disruptor Array,Akira Complex vs kiraku,STD 5 | STD 10 | STD 14 | STD 15,230,SUN,阵列|破坏阵列|雅迪|破坏数组|矩阵
1289,ORIGINAL,Bitter Juicy,mommy,STD 2 | STD 7+ | STD 11+ | STD 13+,135,SUN,
1288,ORIGINAL,盟月,打打だいず,STD 4 | STD 9+ | STD 12+ | STD 14+,218,SUN,
1287,WORLD'S END,ホーリーサンバランド,SAMBA MASTER 佐藤,WE 【狂】☆☆☆☆☆,,,白桑巴|桑巴|理财产品
1286,WORLD'S END,Satellite System ft.Diana Chiaki,GRATEC MOUR「CROSSxBEATS」,WE 【止】☆☆☆☆,,,卫星系统|卫星
